author,message message
Yonds Athini,Point bro Sabaleka isilungu akere 😂😂 @Mondli Nohashe 😂😂😂Uloqa ngathi utsha nomkhukhu Thetha mamzo thethaaa!
siphobuhle sofoyiya,"@Maritime Studies hay njani
Terance Nzuza,Talk in Cheap Scorns and jam awaits
JMK1 Prata,:yt:
Lungelo Dlaba,nje ke😀😀
Mashudu Tshikororo,Fire 🔥 burns mama  @Lerato dumela Lolz tell them mama  @Lerato I’m keeping well and how r u doing at this juncture? "@Lerato we in the same submarine 
Alan White,"This PRASA think is sickening in the utter incompetence of the ANC and its structures Utter incompetent!!  "The advice form the leader - ""do it in such a way that you cover your tracks when you steal and so you can blame others""" Talk talk talk to avoid answering questions - typical politician but no accountability!!!
Modesemang Jafta,"Akere jaanong...I once used this in an interview "indeed @Walter
Mbuso Langa,Louis C🤣🤣🤣 '49...
mandisi ntauzana,lol Chair loves tea and Lunch
AXARO !AINSES,"She keeps on referring to “our people Ms wrrrrr phaaa! ☺️🤣🤣🤣
Xolile Titus,this thing just drags on and on. why can't you finish DCJ👀👀
skeetpetegibbs,NIGHTMARE TEAM YOU MEAN
Walter Moloto,"@Mondli not necessarily so @Lerato yes he is still a member
WareWolf,Morning all "Thabo Daniel your optimism is inspiring SA's future lies in the history of north african liberation countries The only thing we learn from history is that we learn nothing from history Your quality of life is how you are paying for all this mismanagement while we battle in the final two weeks of every month without cash. imagine if you had that tax money in your account We are all slaves to the system buy him a coke essentially we are funding the luxurious lifestyles of connected employees of the state "paying high fuel costs tax* Tax should be declared unconstitutional impractical Anyone who doesnt complain about high cost of living is the one who collects tax money take a case to the CC to declare tax unconstitutional. it dhould be altered to a system of donation rather than tax. you donate how much you can someone has to take this tax thing to court. im telling you theres a chance to win. "say for example i pay 5-7k tax pm where is it going except to pay jacob and duduzane how does it improve my enviroment? i see no improvements? i pay rates so they can pick up trash and cut the grass every six months our money that should be spent on feeding our schools improving hospitals so theres no queues and expensive machinery where is the money young people cant start businesses but theyre the ones with the skills and ideas to move is forward Dismantle parliament and appoint this commission in its place immediately When you have discipline then things will work running a country is not a part time job it takes all of us together dude many of us are born after apartheid. ALL WE SAW IN OUR LIFETIME IS THIS ANC "No We will get real work done Politicians only care about how famous they are junk status...thats where zuma (your president) took our country and dumped it Nyokas. Nyokas everywhere. wake up after all these years? unlikely. ANCorruption "if you remove anc who will replace more corrupt officials cant replace the ANCorruption each province should be given to the top parties for complete rule and this commission can monitor them this commission must trump all in SA This commission has separated the sheep from the wolves The whole political system is designed to fail. we dont need a million parties we only need 2. i commend those brave people who stood up and told the truth The voters dont realise they could have had bigger social grants if this stealing didnt occur This Commission will stop all the tricks "Nobody is saying dont steal the money. Steal if you are a dirty crook Thuli Madonsela must come back together with Musi Maimane and Zondo and lead this country "Cut the crap out Radical economic transformation brought to you by jakob Radical stealing People on the ground should not hold power over finance or requisitions ANC dont care about voters because the IEC is another puppet IEC must come and answer to this commission 70m people. 7million voters. If you cannot self correct then VACATE Any stats that government give you cant be trusted
Stanford Maboya,What is the use of Commission of Inquiry into state capture if they can't arrest people who are found quilt of corruption. They are just wasting state money. #This is useless 
Thapelo Motabogi,"it seems like this commission if it doesn't hear anything about jacob zuma "i said it "this commission doesn't solve the problem what did zuma do "tommygun relax 😂😂😂😂cool down before you get high blood  "@Tommygun  "@Tommygun don't know why this country is like this  "@Aubrey De Bliquy if it was working we would have solved the problems long ago "I SEE A LOT OF YOU SOUND ANGRY NOW "@Lorna Kavanagh it was just a set up "@Tommygun so are you saying racism shouldn't go away @Aubrey De Bliquy don't try to justify what you said
N N,what's happening? Zondo surely is on twitter FACTS wow criminals destroying honorable ppl @sammy sammido we get it no more please this happened this January it tells you they still in the system so they fired her for firing Montana that's what they tried to tell her the current board thinking for criminals instead of throwing them in the cells we need to give them a fair shake @Musa Mabunda true instead it tells you they still looting @Musa Mabunda the only solution is if the government is changed and all these boards are removed and we start afresh the solution is remove ANC if we remove ANC all these boards will have to pack up and new fresh faces will enter @N N Please😂😂😂 she articulates herself really well @Kevin W yes! 2021 tells you all you need to know that we fighting a losing battle they in charge @Kevin W Infact last month she was fired by the corrupt board currently in charge @Kevin W that is the only solution or ANC somehow changes and they fix this😂😂😂 @Pastor J.J its afternoon my bad 🤣🤣🤣 she speaks very well. very intelligent she is a diamond in the ruff she deserves better ANC is finished they won't be able to self correct they're deep in a mess SAns must stop ANC or they have the power to stop this please guys stop ANC if you love SA. shut up @dorman kulani get your head out of the sand @Diane Louw read the room someone just said ANC is the best party to lead SA.
Karen x,"@standford this is an enquiry not a court @majola why dont you listen...then you will know
Cruda Bex,How much can i buy a judge in South Africa? Please Baba Zuma buy DCJ a box of KFC not NANDO too hot for him Which bank is holding CR17 account? "We need high taxes for the rich  High tax for white farmers
Andre Gerber,@Cruda Bex KFC + Coke I just hope that South Africans supporting the ANC wake up and realize what they have become and don't vote for them
Anthony Van der Westhuizen,"@Be ""just stop all unnecessary spending"" ...easier said than done!"
Jack Sparrow,@Cruda Bex the guvverment just steals the high taxes - already way higher than most countries in the world
MIKE DURBAN,@Thapelo Motabogi ....What crap you talking Bra.......what's it gotta do with the past........think ne..... Let me tell you'all something......this country will Never come right if those CappieCommie ANC keep staying in power........nobody can deny that.........get rid of those SOB's........... That's why we need a Coalition Govt........all parties are them equal etc etc.......SA needs it......big time.... But....they'll keep on voting for 'em.........clueless ne...... @Moonchild ....Spot on...reckon it's the only way to save us.......true @Thapelo Motabogi ....And WE shall continue fighting Communism and Socialism........ne @Aubrey De Bliquy ......it's that Braiwashing thing.......can't logically think further than the nose......true Spill the beans lady...........tell it all....... Funny how whistleblowers are....dealt with.......by the CappiCommie ANC.....ne....... @yoliswa mbebe ........vote for me ....I'll sort the whole country out.....heheheh @melds melds .....done...... And NO Commies or Socialists in the NEW Govt....... And only members in this New Govt that can think further than the nose......... The Johnny walker will be free to relieve all the stress of the decision making.......heheheh @Audiotronix SA .....Aaaaay...the Entitlement mentality doesn't allow to self correct......I'm afraid..... @zip reeper ....Geeeez.......I feel for you....... @dorman kulani .....yoooooooah....... Coalition Govt I say..........
PAT WILSON," Brilliant idea!!! Check Twitter out of your Brother's mouths!! your Government is corrupt!! wake up!!! Then you are fighting improvement for all. Fight the real enemy!! Corruption Think independently not with herd mentality!! Audiotronix valid and true facts you are stating!!
Paula Cooke,what time is resuming time... sorry🤗
A K Silamuddin,Pls pls dont lock Zuma .If he is looked he may escape the Arms deal saga which will take place in May
yoliswa mbebe,"Tommygun "Jenny "Tommygun yeah perhaps they were "Tommygun "Aubrey "Andrew
Mukelani Xulu,the corrupt whistle-blower takes the hot seat
Mike Moja,morning family. who's this chick?
Raj Rad Channel,Modi rojgar do
Musa Mabunda,"Instead of being fired
Tshire Thobega,What was Ms Nguyis position at PRASA? alright thank you
Keba Morule,"@Musa Mabunda I agree
Jnr,Which crook is being exposed today?
Julie Petersen,@diane yes "I am very surprised dcj by your ""white"" comment"
Trevor Harper,"When all of this is said and done and Zondo does his report
dorman kulani,ANC is still the best party to lead south africa 
Lubabalo Mazibuko,banks only care about the money not very interested where it goes or comes from.....
